,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.17927,-91.61672,3117835.449412797,635789.1912291391,2007-05-04,0.16
1,28.26872,-91.99978,3127376.0162165565,598101.8786356649,2007-05-04,0.15
2,28.44957,-91.61658,3147784.3336879085,635459.8861623086,2007-05-04,0.3
3,28.58257,-91.61685,3162520.587492894,635263.5764254945,2007-05-04,0.26
4,28.67438,-91.99892,3172320.621189604,597811.8406644039,2007-05-04,0.2
5,28.69163,-91.61477,3174607.125652491,635326.9623248646,2007-05-04,0.3
6,28.7835,-91.61543,3184785.9990777257,635144.1816031279,2007-05-04,0.69
7,28.79135,-91.99937,3185280.0830973326,597659.0543478124,2007-05-04,0.47
8,28.90147,-92.0003,3197480.3936193814,597465.563882178,2007-05-04,0.62
9,28.9839,-91.99983,3206613.98511328,597434.2265729621,2007-05-04,0.5
10,29.03188,-92.38348,3211674.39866465,560031.188990675,2007-05-04,0.61
11,29.1328,-91.99995,3223112.210781591,597282.6571114918,2007-05-04,1.16
12,29.15783,-92.38313,3225629.3840920916,559992.2099097862,2007-05-04,0.9
13,28.90807,-92.38505,3197956.1531252265,559949.6261713887,2007-05-04,0.59
